"id","titulo","anio","pais","idioma","duracion","presupuesto","ingresos_mundiales","ingresos_usa","calificacion_promedio","num_votos","genero","ingresos_internacionales","idioma_ingles","pais_fuerte","duracion_cuadrado","outlier_presupuesto","outlier_ingresos","outlier_duracion","log_presupuesto","log_ingresos_int","roi","ratio_ingreso_presupuesto","categoria_presupuesto","decada"
"tt1396218","I pinguini di Mr. Popper",2011,"USA","English",94,5.5e+07,187361754,68224452,6,86091,"Comedy, Family, Fantasy",119137302,1,1,8836,FALSE,FALSE,FALSE,17.8228437613786,18.5957871926751,1.16613276363636,2.16613276363636,"Alto","2010s"
"tt1396484","It",2017,"Canada, USA","English",135,3.5e+07,701796444,328828874,7.3,442715,"Horror",372967570,1,0,18225,FALSE,TRUE,FALSE,17.3708586480251,19.7370020328097,9.65621628571429,10.6562162857143,"Medio","2010s"
"tt1397280","Taken - La vendetta",2012,"France, USA, Turkey","English",92,4.5e+07,376141306,139854287,6.3,285515,"Action, Thriller",236287019,1,0,8464,FALSE,FALSE,FALSE,17.6221730699568,19.2805578104749,4.25082264444444,5.25082264444444,"Medio","2010s"
"tt1397514","Viaggio nell'isola misteriosa",2012,"USA","English",94,7.9e+07,335260290,103860290,5.8,90916,"Action, Adventure, Comedy",231400000,1,1,8836,FALSE,FALSE,FALSE,18.1849584230895,19.2596583770454,1.92911392405063,2.92911392405063,"Alto","2010s"
"tt1398426","Straight Outta Compton",2015,"USA","English",147,2.8e+07,201634991,161197785,7.8,176177,"Biography, Drama, History",40437206,1,1,21609,FALSE,FALSE,FALSE,17.1477151038538,17.5152608844495,0.444185928571429,1.44418592857143,"Medio","2010s"
"tt1399103","Transformers 3",2011,"USA","English",154,1.95e+08,1123794079,352390543,6.2,380021,"Action, Adventure, Sci-Fi",771403536,1,1,23716,TRUE,TRUE,FALSE,19.0885101216562,20.4637221888977,2.95591556923077,3.95591556923077,"Muy Alto","2010s"
"tt1399683","Un gelido inverno",2010,"USA","English",100,2e+06,13796834,6531503,7.2,133783,"Drama, Mystery",7265331,1,1,10000,FALSE,FALSE,FALSE,14.5086582385241,15.7986245524971,2.6326655,3.6326655,"Bajo","2010s"
"tt1401152","Unknown - Senza identitÃ ",2011,"UK, Germany, France, USA","English",113,3e+07,135710029,63686397,6.8,244812,"Action, Mystery, Thriller",72023632,1,0,12769,FALSE,FALSE,FALSE,17.2167079729598,18.0925048592338,1.40078773333333,2.40078773333333,"Medio","2010s"
"tt1402488","Happy Feet 2",2011,"Australia, USA","English",100,1.35e+08,159196936,64006466,5.9,40908,"Animation, Adventure, Comedy",95190470,1,0,10000,FALSE,FALSE,FALSE,18.7207853438101,18.371390400214,-0.294885407407407,0.705114592592593,"Muy Alto","2010s"
"tt1403177","Hesher Ã¨ stato qui!",2010,"USA","English",106,7e+06,449702,382946,7,50181,"Comedy, Crime, Drama",66756,1,1,11236,FALSE,FALSE,FALSE,15.7614208498767,11.108814439678,-0.990463428571429,0.00953657142857143,"Bajo","2010s"
"tt1403865","Il Grinta",2010,"USA","English",110,3.8e+07,252276927,171243005,7.6,305020,"Drama, Western",81033922,1,1,12100,FALSE,FALSE,FALSE,17.4530967440064,18.2103784274326,1.13247163157895,2.13247163157895,"Medio","2010s"
"tt1403981","Remember Me",2010,"USA","English",113,1.6e+07,56032889,19068240,7.1,135572,"Drama, Romance",36964649,1,1,12769,FALSE,FALSE,FALSE,16.5880993427041,17.4254726085124,1.3102905625,2.3102905625,"Medio","2010s"
"tt1403988","The Romantics",2010,"USA","English",95,4500000,191019,106524,5.1,11559,"Comedy, Drama, Romance",84495,1,1,9025,FALSE,FALSE,FALSE,15.3195881769627,11.3444594749467,-0.981223333333333,0.0187766666666667,"Bajo","2010s"
"tt1407084","Twelve",2010,"USA, France","English",93,5e+06,2648195,183920,5.7,11770,"Action, Crime, Drama",2464275,1,0,8649,FALSE,FALSE,FALSE,15.4249486703984,14.7174086103496,-0.507145,0.492855,"Bajo","2010s"
"tt1408101","Into Darkness - Star Trek",2013,"USA","English",132,1.9e+08,467365246,228778661,7.7,458568,"Action, Adventure, Sci-Fi",238586585,1,1,17424,TRUE,FALSE,FALSE,19.0625346353879,19.2902428464333,0.255718868421053,1.25571886842105,"Muy Alto","2010s"
"tt1408253","Poliziotto in prova",2014,"USA","English",99,2.5e+07,154468902,134938200,6.2,100500,"Action, Comedy, Crime",19530702,1,1,9801,FALSE,FALSE,FALSE,17.0343864228325,16.7874982981088,-0.21877192,0.78122808,"Medio","2010s"
"tt1409024","Men in Black 3",2012,"USA, United Arab Emirates","English",106,2.25e+08,624026776,179020854,6.8,329608,"Action, Adventure, Comedy",445005922,1,0,11236,TRUE,TRUE,FALSE,19.2316109646131,19.9135981501543,0.977804097777778,1.97780409777778,"Muy Alto","2010s"
"tt1410063","I fiori della guerra",2011,"China, Hong Kong","Mandarin",146,9.4e+07,2855644,311434,7.6,48707,"Drama, History, Romance",2544210,0,0,21316,FALSE,FALSE,FALSE,18.3588053508726,14.7493311402544,-0.972933936170213,0.0270660638297872,"Alto","2010s"
"tt1411238","Amici, amanti e...",2011,"USA, UK","English",108,2.5e+07,149228077,70662220,6.2,209640,"Comedy, Romance",78565857,1,0,11664,FALSE,FALSE,FALSE,17.0343864228325,18.1794477864403,2.14263428,3.14263428,"Medio","2010s"
"tt1411250","Riddick",2013,"Canada, USA","English",119,3.8e+07,98337295,42025135,6.4,151989,"Action, Adventure, Sci-Fi",56312160,1,0,14161,FALSE,FALSE,FALSE,17.4530967440064,17.8464210733369,0.481898947368421,1.48189894736842,"Medio","2010s"
"tt1411664","Bucky Larson: Born to Be a Star",2011,"USA","English",97,1e+07,2530394,2529395,3.2,11213,"Comedy",999,1,1,9409,FALSE,FALSE,FALSE,16.1180957509583,6.90775527898214,-0.9999001,9.99e-05,"Medio","2010s"
"tt1411697","Una notte da leoni 2",2011,"USA, Thailand","English",102,8e+07,586764305,254464305,6.4,456333,"Comedy",332300000,1,0,10404,FALSE,TRUE,FALSE,18.1975372051382,19.6215487363342,3.15375,4.15375,"Alto","2010s"
"tt1411704","Hop",2011,"USA","English",95,6.3e+07,183953723,108085305,5.4,30778,"Animation, Adventure, Comedy",75868418,1,1,9025,FALSE,FALSE,FALSE,17.9586453002288,18.1445110688211,0.204260603174603,1.2042606031746,"Alto","2010s"
"tt1412386","Marigold Hotel",2011,"UK, USA, United Arab Emirates","English",124,1e+07,136836156,46412041,7.2,88913,"Comedy, Drama, Romance",90424115,1,0,15376,FALSE,FALSE,FALSE,16.1180957509583,18.3200215596971,8.0424115,9.0424115,"Medio","2010s"
"tt1412528","Tavolo 19",2017,"USA","English",87,5e+06,5042014,3614896,5.8,25512,"Comedy, Drama, Romance",1427118,1,1,7569,FALSE,FALSE,FALSE,15.4249486703984,14.171168284713,-0.7145764,0.2854236,"Bajo","2010s"
"tt1413492","12 Soldiers",2018,"USA","Uzbek",130,3.5e+07,67450815,45819713,6.6,64601,"Action, Drama, History",21631102,0,1,16900,FALSE,FALSE,FALSE,17.3708586480251,16.8896427906189,-0.381968514285714,0.618031485714286,"Medio","2010s"
"tt1413495","Il potere dei soldi",2013,"USA, India, France","English",106,3.5e+07,17056265,7388654,5.7,34504,"Drama, Thriller",9667611,1,0,11236,FALSE,FALSE,FALSE,17.3708586480251,16.0842918876047,-0.723782542857143,0.276217457142857,"Medio","2010s"
